"name";"rating";"genre";"year";"released";"score";"votes";"director";"writer";"star";"country";"budget";"gross";"company";"runtime"
"American Gigolo";"R";"Crime";1980;"February 1, 1980 (United States)";6.2;22000.0;"Paul Schrader";"Paul Schrader";"Richard Gere";"United States";4800000;"22743674.0";"Paramount Pictures";117.0
"My Bodyguard";"PG";"Comedy";1980;"September 26, 1980 (United States)";7.1;8900.0;"Tony Bill";"Alan Ormsby";"Chris Makepeace";"United States";0;"22482952.0";"Twentieth Century Fox";102.0
"Prom Night";"R";"Horror";1980;"July 18, 1980 (United States)";5.4;16000.0;"Paul Lynch";"William Gray";"Leslie Nielsen";"Canada";0;"14796236.0";"Guardian Trust Company";92.0
"Smokey and the Bandit II";"PG";"Action";1980;"August 15, 1980 (United States)";5.3;15000.0;"Hal Needham";"Hal Needham";"Burt Reynolds";"United States";0;"66132626.0";"Universal Pictures";100.0
"Cattle Annie and Little Britches";"PG";"Drama";1980;"April 24, 1981 (United States)";6.1;604.0;"Lamont Johnson";"David Eyre";"Scott Glenn";"United States";5100000;"534816.0";"Cattle Annie Productions";97.0
"Seems Like Old Times";"PG";"Comedy";1980;"December 19, 1980 (United States)";6.7;9100.0;"Jay Sandrich";"Neil Simon";"Goldie Hawn";"United States";0;"43995918.0";"Rastar Films";102.0
"Private Benjamin";"R";"Comedy";1980;"October 10, 1980 (United States)";6.2;24000.0;"Howard Zieff";"Nancy Meyers";"Goldie Hawn";"United States";10000000;"69847348.0";"Warner Bros.";109.0
"The Hollywood Knights";"R";"Comedy";1980;"May 30, 1980 (United States)";6.3;4300.0;"Floyd Mutrux";"Floyd Mutrux";"Tony Danza";"United States";4000000;"10000000.0";"PolyGram Filmed Entertainment";91.0
"Motel Hell";"R";"Comedy";1980;"October 24, 1980 (United States)";6.0;11000.0;"Kevin Connor";"Robert Jaffe";"Rory Calhoun";"United States";3000000;"6342668.0";"Camp Hill";101.0
"The Jazz Singer";"PG";"Drama";1980;"December 19, 1980 (United States)";5.9;4000.0;"Richard Fleischer";"Samson Raphaelson";"Laurence Olivier";"United States";0;"27118000.0";"EMI Films";115.0
"Coal Miner's Daughter";"PG";"Biography";1980;"March 7, 1980 (United States)";7.5;17000.0;"Michael Apted";"Thomas Rickman";"Sissy Spacek";"United States";0;"67182787.0";"Universal Pictures";124.0
"The Watcher in the Woods";"PG";"Family";1980;"October 9, 1981 (United States)";6.3;5700.0;"John Hough";"Brian Clemens";"Bette Davis";"United States";0;"5000000.0";"Walt Disney Productions";84.0
"Breaker Morant";"PG";"Drama";1980;"July 3, 1980 (Australia)";7.9;13000.0;"Bruce Beresford";"Jonathan Hardy";"Edward Woodward";"Australia";0;"";"The South Australian Film Corporation";107.0
"The Stunt Man";"R";"Action";1980;"June 27, 1980 (United States)";7.1;9000.0;"Richard Rush";"Lawrence B. Marcus";"Peter O'Toole";"United States";3500000;"7063886.0";"Melvin Simon Productions";131.0
"Where the Buffalo Roam";"R";"Biography";1980;"April 25, 1980 (United States)";6.6;11000.0;"Art Linson";"Hunter S. Thompson";"Peter Boyle";"United States";0;"6659377.0";"Universal Pictures";99.0
"The Awakening";"R";"Horror";1980;"October 31, 1980 (United States)";4.8;2000.0;"Mike Newell";"Allan Scott";"Charlton Heston";"United Kingdom";0;"8415112.0";"EMI Films";101.0
"Cheech and Chong's Next Movie";"R";"Comedy";1980;"July 18, 1980 (United States)";6.1;12000.0;"Tommy Chong";"Tommy Chong";"Cheech Marin";"United States";0;"41675194.0";"Universal Pictures";99.0
"The Island";"R";"Action";1980;"June 13, 1980 (United States)";5.3;3900.0;"Michael Ritchie";"Peter Benchley";"Michael Caine";"United States";22000000;"15716828.0";"Universal Pictures";109.0
"The Boogey Man";"R";"Horror";1980;"November 7, 1980 (United States)";4.6;3900.0;"Ulli Lommel";"Ulli Lommel";"Suzanna Love";"United States";300000;"";"The Jerry Gross Organization";82.0
"The Nude Bomb";"PG";"Action";1980;"May 9, 1980 (United States)";5.1;3100.0;"Clive Donner";"Mel Brooks";"Don Adams";"United States";15000000;"14662035.0";"Universal Pictures";94.0
"Lion of the Desert";"PG";"Biography";1980;"May 16, 1981 (Japan)";8.3;15000.0;"Moustapha Akkad";"David Butler";"Anthony Quinn";"Libya";35000000;"";"Falcon International Productions";173.0
"Stardust Memories";"PG";"Comedy";1980;"September 26, 1980 (United States)";7.3;22000.0;"Woody Allen";"Woody Allen";"Woody Allen";"United States";10000000;"10389003.0";"Jack Rollins & Charles H. Joffe Productions";89.0
"Melvin and Howard";"R";"Comedy";1980;"September 19, 1980 (United States)";6.8;4500.0;"Jonathan Demme";"Bo Goldman";"Paul Le Mat";"United States";7000000;"4309490.0";"Universal Pictures";95.0
"Can't Stop the Music";"PG";"Biography";1980;"June 20, 1980 (United States)";4.2;3700.0;"Nancy Walker";"Bronte Woodard";"Ray Simpson";"United States";20000000;"";"EMI Films";124.0
"Bronco Billy";"PG";"Action";1980;"June 11, 1980 (United States)";6.1;11000.0;"Clint Eastwood";"Dennis Hackin";"Clint Eastwood";"United States";6500000;"24265659.0";"Warner Bros.";116.0
"City of Women";"R";"Comedy";1980;"April 8, 1981 (United States)";7.0;6700.0;"Federico Fellini";"Federico Fellini";"Marcello Mastroianni";"Italy";0;"12516.0";"Opera Film Produzione";139.0
"The Private Eyes";"PG";"Comedy";1980;"November 21, 1980 (United States)";6.7;2900.0;"Lang Elliott";"Tim Conway";"Tim Conway";"United States";0;"";"Tri Star Productions";91.0
"When Time Ran Out...";"PG";"Action";1980;"March 28, 1980 (United States)";4.6;2600.0;"James Goldstone";"Gordon Thomas";"Paul Newman";"United States";20000000;"3763988.0";"International Cinema";121.0
"Oh Heavenly Dog";"PG";"Comedy";1980;"July 11, 1980 (United States)";5.4;2400.0;"Joe Camp";"Rod Browning";"Chevy Chase";"United States";6000000;"6216067.0";"Mulberry Square Productions";103.0
"The Octagon";"R";"Action";1980;"August 15, 1980 (United States)";5.1;5200.0;"Eric Karson";"Leigh Chapman";"Chuck Norris";"United States";4000000;"18971000.0";"American Cinema Productions";103.0
"Hangar 18";"PG";"Sci-Fi";1980;"March 13, 1981 (Ireland)";5.3;2400.0;"James L. Conway";"Ken Pettus";"Darren McGavin";"United States";11000000;"";"Sunn Classic Pictures";97.0
"Herbie Goes Bananas";"G";"Adventure";1980;"June 25, 1980 (United States)";5.0;5300.0;"Vincent McEveety";"Don Tait";"Charles Martin Smith";"United States";0;"18000000.0";"Walt Disney Productions";100.0
"The Competition";"PG";"Drama";1980;"December 3, 1980 (United States)";6.7;1900.0;"Joel Oliansky";"Joel Oliansky";"Richard Dreyfuss";"United States";0;"14287755.0";"Rastar Films";123.0
"It's My Turn";"R";"Comedy";1980;"February 5, 1981 (Argentina)";5.5;875.0;"Claudia Weill";"Eleanor Bergstein";"Jill Clayburgh";"United States";0;"";"Rastar Films";91.0
"Honeysuckle Rose";"PG";"Drama";1980;"July 18, 1980 (United States)";6.3;1400.0;"Jerry Schatzberg";"Gösta Stevens";"Willie Nelson";"United States";0;"17815212.0";"Major Studio Partners";119.0
"Resurrection";"PG";"Drama";1980;"September 26, 1980 (United States)";7.3;2800.0;"Daniel Petrie";"Lewis John Carlino";"Ellen Burstyn";"United States";0;"3910019.0";"Universal Pictures";103.0
"Fatso";"PG";"Comedy";1980;"February 1, 1980 (United States)";6.3;2000.0;"Anne Bancroft";"Anne Bancroft";"Dom DeLuise";"United States";0;"7653061.0";"Brooksfilms";93.0
"Moscow Does Not Believe in Tears";"PG";"Comedy";1980;"February 11, 1980 (Soviet Union)";8.1;12000.0;"Vladimir Menshov";"Valentin Chernykh";"Vera Alentova";"Soviet Union";900000;"";"Mosfilm";150.0
"The Fiendish Plot of Dr. Fu Manchu";"PG";"Comedy";1980;"August 8, 1980 (United States)";5.1;2000.0;"Piers Haggard";"Rudy Dochtermann";"Peter Sellers";"United States";0;"10697276.0";"Braun Entertainment Group";100.0
"Serial";"R";"Comedy";1980;"March 28, 1980 (United States)";6.6;915.0;"Bill Persky";"Cyra McFadden";"Martin Mull";"United States";0;"9870727.0";"Paramount Pictures";86.0
"Hero at Large";"PG";"Comedy";1980;"February 8, 1980 (United States)";6.0;1500.0;"Martin Davidson";"AJ Carothers";"John Ritter";"United States";0;"15934737.0";"Kings Road Entertainment";98.0
"Wholly Moses!";"PG";"Comedy";1980;"June 13, 1980 (United States)";4.7;1800.0;"Gary Weis";"Guy Thomas";"Dudley Moore";"United States";0;"14155617.0";"Columbia Pictures";103.0
"Bon Voyage, Charlie Brown (and Don't Come Back!!)";"G";"Animation";1980;"May 30, 1980 (United States)";7.3;2900.0;"Bill Melendez";"Charles M. Schulz";"Scott Beach";"United States";0;"2013193.0";"Lee Mendelson Film Productions";75.0
"In God We Trust (or Gimme That Prime Time Religion)";"PG";"Comedy";1980;"September 26, 1980 (United States)";5.5;965.0;"Marty Feldman";"Marty Feldman";"Marty Feldman";"United States";0;"5215015.0";"Universal Pictures";97.0
"Roadie";"PG";"Comedy";1980;"June 13, 1980 (United States)";5.2;1100.0;"Alan Rudolph";"Big Boy Medlin";"Meat Loaf";"United States";0;"4226370.0";"Alive Enterprises";106.0
"Just Tell Me What You Want";"R";"Comedy";1980;"January 18, 1980 (United States)";5.5;585.0;"Sidney Lumet";"Jay Presson Allen";"Ali MacGraw";"United States";0;"2086905.0";"Warner Bros.";112.0
"The Last Flight of Noah's Ark";"G";"Adventure";1980;"June 25, 1980 (United States)";5.8;1300.0;"Charles Jarrott";"Ernest K. Gann";"Elliott Gould";"United States";6000000;"11000000.0";"Walt Disney Productions";97.0
"Little Miss Marker";"PG";"Comedy";1980;"March 21, 1980 (United States)";6.3;1400.0;"Walter Bernstein";"Damon Runyon";"Walter Matthau";"United States";0;"6321392.0";"Universal Pictures";103.0
"Willie & Phil";"R";"Comedy";1980;"August 15, 1980 (United States)";5.9;415.0;"Paul Mazursky";"Jean Gruault";"Michael Ontkean";"United States";5500000;"4400000.0";"Twentieth Century Fox";115.0
"Babylon";"";"Drama";1980;"November 1980 (United Kingdom)";7.4;1300.0;"Franco Rosso";"Franco Rosso";"David N. Haynes";"United Kingdom";0;"109749.0";"Diversity Music";95.0
"Windwalker";"PG";"Adventure";1980;"November 18, 1983 (Sweden)";6.9;1000.0;"Kieth Merrill";"Ray Goldrup";"Trevor Howard";"United States";3000000;"";"Santa Fe International";108.0
"Phobia";"R";"Drama";1980;"September 9, 1980 (United States)";4.0;546.0;"John Huston";"Gary Sherman";"Paul Michael Glaser";"Canada";5100000;"59167.0";"Borough Park Productions";94.0
"Windows";"R";"Drama";1980;"January 18, 1980 (United States)";4.8;643.0;"Gordon Willis";"Barry Siegel";"Talia Shire";"United States";0;"2128395.0";"Mike Lobell Productions";96.0
"Loving Couples";"PG";"Comedy";1980;"October 24, 1980 (United States)";5.2;351.0;"Jack Smight";"Martin Donovan";"Shirley MacLaine";"United States";0;"2806659.0";"Time Life Films";97.0
"The King and the Mockingbird";"Not Rated";"Animation";1980;"March 19, 1980 (France)";7.9;4800.0;"Paul Grimault";"Hans Christian Andersen";"Jean Martin";"France";0;"167451.0";"Les Films Paul Grimault";83.0
"Oh, God! Book II";"PG";"Comedy";1980;"October 3, 1980 (United States)";5.2;2100.0;"Gilbert Cates";"Josh Greenfeld";"George Burns";"United States";0;"14504277.0";"Warner Bros.";94.0
"Those Lips, Those Eyes";"R";"Comedy";1980;"August 15, 1980 (United States)";6.5;269.0;"Michael Pressman";"David Shaber";"Frank Langella";"United States";0;"804713.0";"Herb Jaffe";105.0
"La Cage aux Folles II";"R";"Comedy";1980;"February 15, 1981 (United States)";5.8;1900.0;"Édouard Molinaro";"Jean Poiret";"Michel Serrault";"France";0;"6950125.0";"Da.Ma. Cinematografica";102.0
"The Gong Show Movie";"R";"Comedy";1980;"May 23, 1980 (United States)";4.3;740.0;"Chuck Barris";"Chuck Barris";"Chuck Barris";"United States";0;"6621520.0";"Chuck Barris Productions";89.0
"Gilda Live";"R";"Comedy";1980;"March 28, 1980 (United States)";6.8;599.0;"Mike Nichols";"Anne Beatts";"Gilda Radner";"United States";0;"2261507.0";"Broadway Productions";96.0
"Why Would I Lie?";"PG";"Comedy";1980;"August 8, 1980 (United States)";6.5;211.0;"Larry Peerce";"Hollis Hodges";"Treat Williams";"United States";0;"1175855.0";"Metro-Goldwyn-Mayer (MGM)";105.0
"First Family";"R";"Comedy";1980;"December 25, 1980 (United States)";4.3;593.0;"Buck Henry";"Buck Henry";"Bob Newhart";"United States";0;"15198912.0";"F.F. Associates";97.0
"Mantis Fist Fighter";"";"Action";1980;"July 9, 1982 (United States)";6.7;230.0;"Wing-Cho Yip";"Hsin-Yi Chang";"Ka-Yan Leung";"Hong Kong";0;"";"East Asia Film Company";89.0
"Indiana Jones and the Raiders of the Lost Ark";"PG";"Action";1981;"June 12, 1981 (United States)";8.4;905000.0;"Steven Spielberg";"Lawrence Kasdan";"Harrison Ford";"United States";18000000;"389925971.0";"Paramount Pictures";115.0
"Body Heat";"R";"Crime";1981;"August 28, 1981 (United States)";7.4;32000.0;"Lawrence Kasdan";"Lawrence Kasdan";"William Hurt";"United States";0;"24058838.0";"The Ladd Company";113.0
"An American Werewolf in London";"R";"Comedy";1981;"August 21, 1981 (United States)";7.5;97000.0;"John Landis";"John Landis";"David Naughton";"United Kingdom";10000000;"30669378.0";"Polygram Pictures";97.0
"Escape from New York";"R";"Action";1981;"July 10, 1981 (United States)";7.2;131000.0;"John Carpenter";"John Carpenter";"Kurt Russell";"United States";6000000;"25244626.0";"AVCO Embassy Pictures";99.0
"The Evil Dead";"NC-17";"Horror";1981;"April 15, 1983 (United States)";7.5;192000.0;"Sam Raimi";"Sam Raimi";"Bruce Campbell";"United States";350000;"2956630.0";"Renaissance Pictures";85.0
"Porky's";"R";"Comedy";1981;"March 19, 1982 (United States)";6.2;40000.0;"Bob Clark";"Bob Clark";"Dan Monahan";"Canada";2500000;"111289673.0";"Astral Bellevue Pathé";94.0
"Blow Out";"R";"Crime";1981;"July 24, 1981 (United States)";7.4;47000.0;"Brian De Palma";"Brian De Palma";"John Travolta";"United States";18000000;"12000000.0";"Filmways Pictures";108.0
"Clash of the Titans";"PG";"Action";1981;"June 12, 1981 (United States)";6.9;42000.0;"Desmond Davis";"Beverley Cross";"Laurence Olivier";"United Kingdom";15000000;"41092328.0";"Charles H. Schneer Productions";118.0
"Excalibur";"R";"Adventure";1981;"April 10, 1981 (United States)";7.4;59000.0;"John Boorman";"Thomas Malory";"Nigel Terry";"United Kingdom";11000000;"34971136.0";"Cinema '84";140.0
"Mad Max 2";"R";"Action";1981;"May 21, 1982 (United States)";7.6;170000.0;"George Miller";"Terry Hayes";"Mel Gibson";"Australia";3000000;"23668369.0";"Kennedy Miller Productions";96.0
"Das Boot";"";"Adventure";1981;"February 10, 1982 (United States)";8.3;237000.0;"Wolfgang Petersen";"Wolfgang Petersen";"Jürgen Prochnow";"West Germany";0;"11487676.0";"Bavaria Film";149.0
"Stripes";"R";"Comedy";1981;"June 26, 1981 (United States)";6.9;68000.0;"Ivan Reitman";"Len Blum";"Bill Murray";"United States";10000000;"85297000.0";"Columbia Pictures";106.0
"Possession";"R";"Drama";1981;"October 28, 1983 (United States)";7.4;27000.0;"Andrzej Zulawski";"Andrzej Zulawski";"Isabelle Adjani";"France";0;"1113538.0";"Gaumont";124.0
"The Cannonball Run";"PG";"Action";1981;"June 19, 1981 (United States)";6.2;34000.0;"Hal Needham";"Brock Yates";"Burt Reynolds";"United States";18000000;"72179579.0";"Golden Harvest Company";95.0
"Thief";"R";"Action";1981;"March 27, 1981 (United States)";7.4;27000.0;"Michael Mann";"Frank Hohimer";"James Caan";"United States";5500000;"11492915.0";"Mann/Caan Productions";123.0
"Endless Love";"R";"Drama";1981;"July 17, 1981 (United States)";4.9;7600.0;"Franco Zeffirelli";"Scott Spencer";"Brooke Shields";"United States";0;"32492674.0";"PolyGram Filmed Entertainment";116.0
"Time Bandits";"PG";"Adventure";1981;"November 6, 1981 (United States)";7.0;60000.0;"Terry Gilliam";"Michael Palin";"Sean Connery";"United Kingdom";5000000;"42368025.0";"HandMade Films";110.0
"The Four Seasons";"PG";"Comedy";1981;"May 22, 1981 (United States)";6.8;4200.0;"Alan Alda";"Alan Alda";"Alan Alda";"United States";0;"50427646.0";"Universal Pictures";107.0
"Friday the 13th Part 2";"R";"Horror";1981;"May 1, 1981 (United States)";6.1;61000.0;"Steve Miner";"Ron Kurz";"Betsy Palmer";"United States";1250000;"21722776.0";"Georgetown Productions Inc.";87.0
"Scanners";"R";"Horror";1981;"January 14, 1981 (United States)";6.8;51000.0;"David Cronenberg";"David Cronenberg";"Jennifer O'Neill";"Canada";0;"14225876.0";"Canadian Film Development Corporation (CFDC)";103.0
"For Your Eyes Only";"PG";"Action";1981;"June 26, 1981 (United States)";6.7;94000.0;"John Glen";"Richard Maibaum";"Roger Moore";"United Kingdom";28000000;"54813222.0";"Eon Productions";127.0
"Halloween II";"R";"Horror";1981;"October 30, 1981 (United States)";6.5;77000.0;"Rick Rosenthal";"John Carpenter";"Jamie Lee Curtis";"United States";2500000;"25533818.0";"Dino De Laurentiis Company";92.0
"Taps";"PG";"Drama";1981;"December 25, 1981 (United States)";6.8;17000.0;"Harold Becker";"Darryl Ponicsan";"George C. Scott";"United States";14000000;"35856053.0";"Major Studio Partners";126.0
"Reds";"PG";"Biography";1981;"December 25, 1981 (United States)";7.3;21000.0;"Warren Beatty";"Warren Beatty";"Warren Beatty";"United States";32000000;"40382659.0";"Barclays Mercantile Industrial Finance";195.0
"On Golden Pond";"PG";"Drama";1981;"February 12, 1982 (United States)";7.6;29000.0;"Mark Rydell";"Ernest Thompson";"Katharine Hepburn";"United States";0;"119285432.0";"IPC Films";109.0
"The Fox and the Hound";"G";"Animation";1981;"July 10, 1981 (United States)";7.3;87000.0;"Directors";"Daniel P. Mannix";"Mickey Rooney";"United States";12000000;"63456988.0";"Walt Disney Animation Studios";83.0
"Chariots of Fire";"PG";"Biography";1981;"April 9, 1982 (United States)";7.2;56000.0;"Hugh Hudson";"Colin Welland";"Ben Cross";"United Kingdom";5500000;"59303359.0";"Enigma Productions";125.0
"Absence of Malice";"PG";"Drama";1981;"December 18, 1981 (United States)";6.9;12000.0;"Sydney Pollack";"Kurt Luedtke";"Paul Newman";"United States";12000000;"40716963.0";"Columbia Pictures";116.0
"Tarzan the Ape Man";"Approved";"Adventure";1981;"July 24, 1981 (United States)";3.4;5300.0;"John Derek";"Tom Rowe";"Bo Derek";"United States";6500000;"36565280.0";"Metro-Goldwyn-Mayer (MGM)";115.0
"Victory";"PG";"Drama";1981;"July 31, 1981 (United States)";6.7;29000.0;"John Huston";"Yabo Yablonsky";"Michael Caine";"United Kingdom";10000000;"10853418.0";"Lorimar Film Entertainment";116.0
"Arthur";"PG";"Comedy";1981;"July 17, 1981 (United States)";6.9;27000.0;"Steve Gordon";"Steve Gordon";"Dudley Moore";"United States";7000000;"95461682.0";"Orion Pictures";97.0
"My Dinner with Andre";"PG";"Biography";1981;"October 11, 1981 (United States)";7.8;19000.0;"Louis Malle";"Wallace Shawn";"Andre Gregory";"United States";0;"5073.0";"Saga Productions Inc.";110.0
"Caveman";"PG";"Comedy";1981;"April 17, 1981 (United States)";5.8;7300.0;"Carl Gottlieb";"Rudy De Luca";"Ringo Starr";"United States";0;"15965924.0";"Estudios Churubusco Azteca S.A.";91.0
"Dead & Buried";"R";"Horror";1981;"October 9, 1981 (United States)";6.6;11000.0;"Gary Sherman";"Jeff Millar";"James Farentino";"United States";3000000;"";"Aspen Productions (I)";94.0
"History of the World: Part I";"R";"Comedy";1981;"June 12, 1981 (United States)";6.9;47000.0;"Mel Brooks";"Mel Brooks";"Mel Brooks";"United States";11000000;"31672907.0";"Brooksfilms";92.0
"The Howling";"R";"Horror";1981;"April 10, 1981 (United States)";6.6;32000.0;"Joe Dante";"Gary Brandner";"Dee Wallace";"United States";1000000;"17985893.0";"Embassy Pictures";91.0
"Dragonslayer";"PG";"Action";1981;"June 26, 1981 (United States)";6.7;16000.0;"Matthew Robbins";"Hal Barwood";"Peter MacNicol";"United Kingdom";18000000;"14110013.0";"Paramount Pictures";109.0
"Cutter's Way";"R";"Crime";1981;"February 10, 1982 (France)";6.9;5300.0;"Ivan Passer";"Newton Thornburg";"Jeff Bridges";"United States";3000000;"1752634.0";"Gurian Entertainment";109.0
"Quest for Fire";"R";"Adventure";1981;"February 12, 1982 (United States)";7.3;21000.0;"Jean-Jacques Annaud";"Gérard Brach";"Everett McGill";"Canada";12500000;"20962615.0";"International Cinema Corporation (ICC)";100.0
"The Final Conflict";"R";"Horror";1981;"March 20, 1981 (United States)";5.6;19000.0;"Graham Baker";"David Seltzer";"Sam Neill";"United Kingdom";5000000;"20471382.0";"Twentieth Century Fox";108.0
"Mommie Dearest";"R";"Biography";1981;"September 25, 1981 (United States)";6.7;15000.0;"Frank Perry";"Christina Crawford";"Faye Dunaway";"United States";5000000;"19032261.0";"Paramount Pictures";129.0
"Private Lessons";"R";"Comedy";1981;"June 10, 1981 (United States)";5.2;3400.0;"Alan Myerson";"Dan Greenburg";"Sylvia Kristel";"United States";2800000;"26279000.0";"Barry & Enright Productions";87.0
"The Postman Always Rings Twice";"R";"Crime";1981;"March 20, 1981 (United States)";6.6;22000.0;"Bob Rafelson";"David Mamet";"Jack Nicholson";"West Germany";12000000;"12376625.0";"CIP Filmproduktion GmbH";122.0
"Ragtime";"PG";"Drama";1981;"December 25, 1981 (United States)";7.3;9000.0;"Milos Forman";"E.L. Doctorow";"James Cagney";"United States";0;"14920781.0";"Dino De Laurentiis Company";155.0
"Deadly Blessing";"R";"Horror";1981;"August 14, 1981 (United States)";5.6;5200.0;"Wes Craven";"Glenn M. Benest";"Maren Jensen";"United States";2500000;"8279042.0";"PolyGram Filmed Entertainment";100.0
